Reference	Qty	Value	Spec	Package	LCSC	MFR PN
C1,C3,C4	3	1 uF	 ±10% 50V	0805	C6119929	
C2	1	470nF	 ±10% 50V	0805	C13967	
C5	1	100nF	 ±10% 50V	0805	C49678	
D1,D4	2	SS14	30V 0.5A Schottky Diode	SMA	C2480	
D2	1	GREEN	LED GREEN	3 mm		
D3	1	YELLOW	LED YELLOW	3 mm		
J2	1	Conn_PIC_ICSP_ICD	Male / THT/ Vertical	2.54 mm 1x6		
J3	1	Screw_Terminal_01x02	Horizontal	5.08mm 1x2		
J4	1	Conn_01x07_Pin	Male / THT/ Vertical	2.54 mm 1x7		
JP1	1	JP_PLED	Male / THT/ Vertical	2.54 mm 1x2		
JP2	1	Jumper_3_Open	Male / THT/ Vertical	2.54 mm 1x3		
JP3	1	JP_SLED	Male / THT/ Vertical	2.54 mm 1x2		
R1	1	680	1% 125 mW	1206		
R2,R4	2	10k	1% 125 mW	1206		
R3	1	330	1% 125 mW	1206		
SW1	1	SW_RESET	H=5.0mm Tactile	4.5 x 4.5 SMD		
U1	1	PIC12F617-xP	8-Bit PIC 20 Mhz	PDIP-8		PIC12F17I/P
U2	1	78L05G-AB3-R	5V 0.1 A	SOT-89-3	C71136	
U3	1	XC6206-3.3V_C3015484	3.3V 0.25A	SOT23	C3015484	
U4	1	SI2301-A1SHB	P-Mos 20V 2.3A	SOT23	C28642376	SI2301-A1SHB
